,Name,Platform,Year,Genre,Global_Sales
0,The sim 4,PC,2013,Simulation,2.97
1,Battlefield 4,PC,2013,,1.4
2,Football Manager 2014,PC,,Sports,0.71
3,Call of Duty: Black Ops 3,PC,2014,,0.23
4,Assassin Creed Syndicate,PC,2014,Action,0.2
5,The Sims 4: Get Together,PC,2014,Simulation,0.19
6,FIFA 16,PC,2014,Sport,0.18
7,Dark Soul II,PC,2014,Role_Playing,0.18
8,Battlefield: Hardline,PC,2014,,0.14
9,Batman: Arkham Knight,PC,2014,Action,0.13
10,Assassin Creed:Rogue,,2015,Action,0.07
11,FIFA 17,,2015,Sports,0.05
12,Dark Soul III,PC,2015,Role_Playing,0.05
13,The sim 4:Spa Day,PC,2016,Simulation,0.04
14,Divinity:Original Sin,PC,2016,Role_Playing,
15,The Sims 4:Luxury,PC,2016,Simulation,
16,Assassin Creed:Rogue,PC,2016,Action,0.01
17,,,,,
